date,open,low,high,close,volume
2025-02-04 00:15:00,154.979,154.931,155.079,155.056,6882
2025-02-04 00:00:00,155.276,154.82,155.328,154.979,13358
2025-02-03 23:45:00,155.254,155.232,155.282,155.276,2456
2025-02-03 23:30:00,155.242,155.214,155.282,155.254,2159
2025-02-03 23:15:00,155.206,155.205,155.27,155.242,2095
2025-02-03 23:00:00,155.205,155.181,155.232,155.206,2023
2025-02-03 22:45:00,155.255,155.188,155.256,155.205,2018
2025-02-03 22:30:00,155.138,155.137,155.299,155.255,2509
2025-02-03 22:15:00,155.086,155.08,155.174,155.138,1698
2025-02-03 22:00:00,155.147,155.06,155.15,155.086,2442
2025-02-03 21:45:00,155.215,155.033,155.218,155.147,4252
2025-02-03 21:30:00,155.239,155.199,155.248,155.215,2250
2025-02-03 21:15:00,155.148,155.148,155.243,155.239,2425
2025-02-03 21:00:00,155.104,155.075,155.159,155.148,2962
2025-02-03 20:45:00,155.212,155.04,155.214,155.104,3617
2025-02-03 20:30:00,155.219,155.21,155.341,155.212,4109
2025-02-03 20:15:00,155.31,155.14,155.313,155.219,6187
2025-02-03 20:00:00,155.307,155.248,155.393,155.31,5233
2025-02-03 19:45:00,155.306,155.201,155.344,155.307,6713
2025-02-03 19:30:00,155.37,155.305,155.401,155.306,3159
2025-02-03 19:15:00,155.308,155.27,155.377,155.37,3604
2025-02-03 19:00:00,155.263,155.179,155.342,155.308,4391
2025-02-03 18:45:00,155.126,155.126,155.293,155.263,3825
2025-02-03 18:30:00,155.152,155.116,155.178,155.126,2845
2025-02-03 18:15:00,155.067,155.015,155.218,155.152,3465
2025-02-03 18:00:00,154.781,154.78,155.073,155.063,2894
2025-02-03 17:45:00,154.779,154.762,154.855,154.781,2555
2025-02-03 17:30:00,154.747,154.746,154.843,154.779,812
2025-02-03 17:15:00,154.687,154.687,154.752,154.747,888
2025-02-03 17:00:00,154.683,154.681,154.687,154.687,5
2025-02-03 16:45:00,154.681,154.533,154.923,154.683,4222
2025-02-03 16:30:00,154.781,154.645,154.892,154.681,7147
2025-02-03 16:15:00,154.734,154.65,154.807,154.781,2824
2025-02-03 16:00:00,154.709,154.661,154.746,154.734,1300
2025-02-03 15:45:00,154.705,154.705,154.781,154.709,2150
2025-02-03 15:30:00,154.668,154.647,154.738,154.705,2827
2025-02-03 15:15:00,154.787,154.661,154.79,154.668,3281
2025-02-03 15:00:00,154.897,154.76,154.898,154.787,2647
2025-02-03 14:45:00,154.868,154.825,154.9,154.897,3079
2025-02-03 14:30:00,154.934,154.861,154.995,154.868,3631
2025-02-03 14:15:00,154.929,154.884,154.964,154.934,4942
2025-02-03 14:00:00,154.953,154.851,154.953,154.929,4503
2025-02-03 13:45:00,154.912,154.899,155.005,154.953,3321
2025-02-03 13:30:00,154.782,154.75,154.959,154.912,3529
2025-02-03 13:15:00,154.613,154.611,154.783,154.782,3002
2025-02-03 13:00:00,154.648,154.567,154.661,154.613,5673
2025-02-03 12:45:00,154.616,154.515,154.667,154.648,11342
2025-02-03 12:30:00,154.599,154.578,154.651,154.616,5013
2025-02-03 12:15:00,154.617,154.59,154.673,154.599,4853
2025-02-03 12:00:00,154.685,154.573,154.72,154.617,7476
2025-02-03 11:45:00,154.612,154.588,154.744,154.685,9495
2025-02-03 11:30:00,154.599,154.539,154.662,154.613,6437
2025-02-03 11:15:00,154.625,154.599,154.74,154.599,7550
2025-02-03 11:00:00,154.721,154.576,154.86,154.625,18009
2025-02-03 10:45:00,154.704,154.548,154.831,154.721,12968
2025-02-03 10:30:00,154.685,154.573,154.862,154.704,22189
2025-02-03 10:15:00,154.17,154.006,154.803,154.685,27741
2025-02-03 10:00:00,154.527,154.092,154.706,154.17,12858
2025-02-03 09:45:00,154.507,154.442,154.55,154.527,9494
2025-02-03 09:30:00,154.447,154.374,154.576,154.52,10420
2025-02-03 09:15:00,154.6,154.402,154.6,154.447,7400
2025-02-03 09:00:00,154.644,154.6,154.743,154.6,7241
2025-02-03 08:45:00,154.755,154.638,154.831,154.644,5359
2025-02-03 08:30:00,154.629,154.614,154.789,154.755,6380
2025-02-03 08:15:00,154.578,154.499,154.655,154.629,5579
2025-02-03 08:00:00,154.564,154.4,154.64,154.578,8743
2025-02-03 07:45:00,154.438,154.404,154.609,154.564,5146
2025-02-03 07:30:00,154.477,154.284,154.487,154.438,8876
2025-02-03 07:15:00,154.585,154.469,154.59,154.477,10046
2025-02-03 07:00:00,154.603,154.572,154.618,154.585,4535
